independent,regression,score,metric,aic
style + Area + property_type,Poly Ridge (deg 2),0.1992136262738614,Adj R²,1118.7006842583564
address + bedrooms + property_type,Linear,0.19803730933309838,Adj R²,1113.319916077852
address + bathrooms + property_type,Linear,0.19770859192352808,Adj R²,1113.3588477587755
bedrooms,Poly OLS (deg 2),0.19724065515462075,Adj R²,1112.4525020931487
bedrooms,Poly Lasso (deg 2),0.19724058276272916,Adj R²,1112.4525106601363
bedrooms,Poly Ridge (deg 2),0.19721078811045456,Adj R²,1112.4560365476927
address + bathrooms,Poly OLS (deg 2),0.1970972659404101,Adj R²,1115.3200098229643
address + bathrooms,Poly Lasso (deg 2),0.1970854336505612,Adj R²,1115.3214098172666
address + bedrooms,Linear,0.19683982989135718,Adj R²,1112.4999246450839
bedrooms + Area + property_type,Poly OLS (deg 2),0.19665518304747753,Adj R²,1119.0037172197574
bedrooms + Area + property_type,Poly Lasso (deg 2),0.19663541711088306,Adj R²,1119.0060546231193
style + bedrooms + property_type,Linear,0.19662621360852905,Adj R²,1113.4869267080537
address + Year + property_type,Poly Ridge (deg 2),0.19627427858244306,Adj R²,1119.04875061934
neighbourhood + Area + property_type,Poly OLS (deg 2),0.19616061443169253,Adj R²,1119.0621847182667
neighbourhood + Area + property_type,Poly Lasso (deg 2),0.19614451532412303,Adj R²,1119.0640873370378
address + neighbourhood + bathrooms,Poly OLS (deg 2),0.19594433756038943,Adj R²,1119.0877414894294
address + neighbourhood + bathrooms,Poly Lasso (deg 2),0.19592297594404295,Adj R²,1119.0902653527523
style + bathrooms + property_type,Linear,0.19584369532392687,Adj R²,1113.5794154811374
style + Year + property_type,Poly OLS (deg 2),0.1955114067838224,Adj R²,1119.1388789382404
address + bathrooms,Poly Ridge (deg 2),0.1955113631268891,Adj R²,1115.507469851549
bedrooms + bathrooms + property_type,Poly Ridge (deg 2),0.19548366613076396,Adj R²,1119.1421547045186
bedrooms + Area + property_type,Poly Ridge (deg 2),0.19516759205056744,Adj R²,1119.1794704673791
neighbourhood + bathrooms + prope...,Poly OLS (deg 2),0.1951206697402076,Adj R²,1119.185008874511
neighbourhood + bathrooms + prope...,Poly Lasso (deg 2),0.19509610069124184,Adj R²,1119.1879087179295
neighbourhood + Area + property_type,Poly Ridge (deg 2),0.1950902920505695,Adj R²,1119.1885942890558
style + bedrooms,Linear,0.19504750692607897,Adj R²,1112.7116893505108
address + neighbourhood + bathrooms,Linear,0.19483925784054745,Adj R²,1113.6980019007606
bedrooms + bathrooms,Log-Linear,0.1944918546928368,Adj R²,1112.7772444631223
address + neighbourhood + bedrooms,Linear,0.19438856030002838,Adj R²,1113.7511643131104
address + neighbourhood + Year,Poly Ridge (deg 2),0.19385370288082526,Adj R²,1119.3344315458942
address + bathrooms,Linear,0.19378098353911677,Adj R²,1112.861046195307
address + bedrooms + bathrooms,Poly OLS (deg 2),0.19376841458469163,Adj R²,1119.3444817806787
address + bedrooms + bathrooms,Poly Lasso (deg 2),0.19370432038694096,Adj R²,1119.3520338375295
neighbourhood + style + Area,Poly OLS (deg 2),0.1926796260504512,Adj R²,1119.4726895224267
neighbourhood + style + Area,Poly Lasso (deg 2),0.1926593613646329,Adj R²,1119.4750741036332
neighbourhood + Area,Poly OLS (deg 2),0.1925503399745081,Adj R²,1115.8564875731504
neighbourhood + Area,Poly Lasso (deg 2),0.19254327307927455,Adj R²,1115.8573190207842
neighbourhood + Area,Poly Ridge (deg 2),0.1918532026735984,Adj R²,1115.9384734519824
address + neighbourhood + bathrooms,Poly Ridge (deg 2),0.19179400840118266,Adj R²,1119.5768458975901
neighbourhood + style + bedrooms,Linear,0.19161576334231611,Adj R²,1114.0775790290752
style + bathrooms,Linear,0.19150147785581761,Adj R²,1113.1292704247383
neighbourhood + style + bathrooms,Linear,0.1912075323223914,Adj R²,1114.1255415647865
address + bedrooms + Area,Poly OLS (deg 2),0.19108736588185204,Adj R²,1119.6598714005331
address + bedrooms + Area,Poly Lasso (deg 2),0.19105057664606673,Adj R²,1119.664191889272
bathrooms + property_type,Poly OLS (deg 2),0.19060695788610116,Adj R²,1116.0848602986637
bathrooms + property_type,Poly Lasso (deg 2),0.19060404157253596,Adj R²,1116.085202591314
neighbourhood + bathrooms + prope...,Poly Ridge (deg 2),0.19036383889558461,Adj R²,1119.744805594024
bathrooms + property_type,Poly Ridge (deg 2),0.19025652436156992,Adj R²,1116.1259824461604
neighbourhood + style + Area,Poly Ridge (deg 2),0.19016456080303834,Adj R²,1119.7681853419415
neighbourhood + style + Year,Poly Lasso (deg 2),0.18908308548001984,Adj R²,1119.8949661801114
address + style + bedrooms,Linear,0.18801401183528044,Adj R²,1114.4999108535633
neighbourhood + Year + property_type,Poly Lasso (deg 2),0.18787457558479626,Adj R²,1120.0364393364296
address + bedrooms + Area,Poly Ridge (deg 2),0.18775093965532108,Adj R²,1120.0509007964354
address + bedrooms + bathrooms,Poly Ridge (deg 2),0.18741669255104032,Adj R²,1120.089986028837
Area,Poly OLS (deg 2),0.1868178374197249,Adj R²,1113.6780185016883
Area,Poly Lasso (deg 2),0.18681532011081547,Adj R²,1113.6783125858274
address + style + bathrooms,Linear,0.18492300568048303,Adj R²,1114.8608630000094
Area,Poly Ridge (deg 2),0.18478501829258875,Adj R²,1113.9152062394255
neighbourhood + bedrooms,Poly OLS (deg 2),0.18428869095092615,Adj R²,1116.8235677949563
neighbourhood + bedrooms,Poly Lasso (deg 2),0.18428424584172276,Adj R²,1116.8240854832843
style + Year + property_type,Poly Lasso (deg 2),0.18426059819733698,Adj R²,1120.4582537405945
neighbourhood + bedrooms,Poly Ridge (deg 2),0.1837935703282766,Adj R²,1116.881213421913
style + Year + property_type,Poly Ridge (deg 2),0.18338909486354316,Adj R²,1120.5596937614343
style + bedrooms,Poly OLS (deg 2),0.18051836756930628,Adj R²,1117.2616584286868
style + bedrooms,Poly Lasso (deg 2),0.18051070798150493,Adj R²,1117.2625463771308
style + bedrooms,Poly Ridge (deg 2),0.18011581418372302,Adj R²,1117.3083137535366
neighbourhood + style + Year,Poly Ridge (deg 2),0.17974240859353707,Adj R²,1120.9829846605337
neighbourhood + Year + property_type,Poly Ridge (deg 2),0.1788434682469221,Adj R²,1121.0870404746777
bedrooms + property_type,Poly OLS (deg 2),0.17870602221334797,Adj R²,1117.4715261007373
bedrooms + property_type,Poly Lasso (deg 2),0.17870581862659696,Adj R²,1117.4715496498434
Area + property_type,Poly OLS (deg 2),0.17860023406194103,Adj R²,1117.4837619474201
Area + property_type,Poly Lasso (deg 2),0.1785981395777172,Adj R²,1117.4840041872599
bedrooms + property_type,Poly Ridge (deg 2),0.17856667860388076,Adj R²,1117.487642765917
bedrooms + Area,Log-Linear,0.17853965664870441,Adj R²,1114.6402275394094
address + bedrooms,Poly OLS (deg 2),0.17821337606591825,Adj R²,1117.5284939516866
address + bedrooms,Poly Lasso (deg 2),0.17820500838589237,Adj R²,1117.529461265503
address + Area,Poly OLS (deg 2),0.17804824632741023,Adj R²,1117.5475813264475
address + Area,Poly Lasso (deg 2),0.1780358629075236,Adj R²,1117.5490125735032
address + bedrooms,Poly Ridge (deg 2),0.17758119817004647,Adj R²,1117.6015467492582
Area + property_type,Poly Ridge (deg 2),0.1767562634338501,Adj R²,1117.6967896130584
address + style + bedrooms,Poly OLS (deg 2),0.1753770785991261,Adj R²,1121.4872247191322
address + style + bedrooms,Poly Lasso (deg 2),0.17536981139654395,Adj R²,1121.4880619274918
bathrooms,Log-Linear,0.17511398129429745,Adj R²,1114.0626122748067
address + style + bedrooms,Poly Ridge (deg 2),0.17466845976422996,Adj R²,1121.5688255087532
address + Area,Poly Ridge (deg 2),0.17258812834001658,Adj R²,1118.1765670706475
address + neighbourhood + Area,Poly OLS (deg 2),0.1712781812838713,Adj R²,1121.958265069365
address + neighbourhood + Area,Poly Lasso (deg 2),0.1712639886889088,Adj R²,1121.9598920145545
address + bathrooms + property_type,Poly OLS (deg 2),0.16998247215942697,Adj R²,1122.106681868079
address + bathrooms + property_type,Poly Lasso (deg 2),0.16996924070449115,Adj R²,1122.1081962676647
